Id,Price
PSJEN,-94.85753885523414
PVZW7,83.67298339330534
EJLAM,1004.6475777128001
SDHPB,-595.1601991501208
MJGYX,443.44754644424734
W2IB5,623.6633587733417
QQ6N7,247.21312409281742
KZ8D0,332.2029848509053
6GVSR,695.9315790440982
M13UD,1143.529831655798
JGFX2,111.80208712637474
SWFBE,439.89371344058554
AGG3O,909.3339737786747
8SXGU,186.98664037317587
8UQUQ,99.076450260281
RWSBZ,348.55977646525906
CP2YK,140.74618585904764
0UCG1,318.38839628118853
N5NBU,367.327882500267
RXDRA,326.8482506929846
27BDQ,-10.506243720561883
DQFIY,383.78887161465343
4HRAF,122.32887330951706
PDWVC,170.69771519934397
G5EYJ,252.88888766633983
3IKG8,232.46953327216673
EPXVM,98.56382274775616
1JEZF,121.91778038701851
DQMFO,107.11762079073044
STTV9,483.3963134944245
P4KXV,731.5961832407854
A674U,386.1781093426603
R9H7N,199.17321657261454
6D5IK,291.62633614845845
BZ7OW,234.43740485165438
DFIHL,320.5834117267589
W2ANQ,188.46975094489255
8GHVJ,-164.94694070502578
NGVRV,262.7125939120211
YWB7E,361.18791909388875
9OQ8H,146.50840748189236
A9ZUC,390.0924113073833
0KTAT,827.6451818130355
EFH52,645.9638334443941
SVGB8,78.71732300753587
Y1V2Z,163.63336643410904
FS5NB,-3.319092086058731
4RPAU,926.6646327157504
LVNF6,404.69653662685664
CYPSM,166.19427701040865
DSO0M,28.052328373339478
M3ACR,43.91035305594022
5L50R,197.18636682191777
NTRRT,12.510591236409397
A7LZK,79.43567472353885
RU0FN,125.6950733808555
F6PFT,164.7591611558899
CZ87K,214.94382258443426
YQA3V,523.6432738270845
QRLCI,500.7635397806795
NX1FT,-476.4632257454499
YVEVU,107.92793360663075
QJTED,-79.9231109809675
SRM83,-46.41793767012081
RCL70,604.2824840004726
G9W6L,-41.09758347486792
DIFMN,94.41997690798233
BBKR1,-148.9750685704126
U0JSY,254.99090247676983
IZSTN,-178.88814342344943
8E88L,78.70038184809307
8Y6GN,312.61717511240374
RKVBT,477.55677349526746
237ZJ,-57.73032465789797
IYIJ4,23.904459145497782
YZGC0,165.3542780136117
SJZGW,-635.2486327876443
GYY14,267.25568976588227
X0WCC,573.4764424732275
MT2VJ,676.8596127928629
WZBUX,198.74256722256627
EFRXO,3.902867438142607
JCYGL,283.45863952993534
MAIVS,122.8472782434452
XRZAJ,73.21057847582169
NVORT,-13.786429855008038
VVORD,-7.849598583431941
0MJI6,211.4365291647602
N2HY5,442.6866038971083
BZBGI,1392.0923485702792
YGOKR,151.35052580889112
ITPMU,1619.2714302212075
VIFI5,-140.42920126843046
N58DR,1077.2067230573907
AKEJQ,395.8488903972804
727KF,448.5113848652758
8VLUJ,242.59468238678042
XHNBZ,99.15284254469387
S0PGX,542.3396307967444
Y34EV,-340.30618647516707
FZP4L,245.03112489918203
ZMP4A,-48.611976693262875
VOWIY,256.6200449518633
IAMA5,355.67481871818177
X7I0M,343.1446820318165
URP86,178.15613206455419
AIJMH,4.611293696096652
XA3O1,75.42043290075178
I8BXR,714.8339929706126
KS4K1,788.4379688745662
NRE9B,309.9412456508152
NQQZ5,45.97649319812834
FSBE0,12.183674190798087
LUXQP,135.4987050084815
ZZFPV,181.2036590365147
BXXS4,-224.6337450825415
EAPAB,44.80361072777421
JSOYD,264.5652425389893
BBYRE,24.809732139554242
BNXDV,604.2824840004726
5S34I,-48.66406287582771
3XLB7,-41.755829685191685
1RKHW,166.45818618932233
YZ7H7,236.2647933707762
SZMVD,166.15429239557872
KPHGW,202.6118415121252
P0CLW,472.02998567405444
DAMSV,136.77992897500008
NSE43,100.62588450920242
AILIP,567.3577259724325
DVAQ5,176.64419868487198
MAQEI,337.8515417418321
PK0WF,1594.1548514091064
FWV5N,432.8330319819386
OLO9A,346.9657879299602
6U5T0,35.06087804333799
9T8KY,17.297358071408823
5DYDN,68.52699669317454
OGMI8,259.1620657759354
CJ08D,260.9960200418348
TYHNM,63.46786527215562
7WFXL,94.83593343999289
